PROJECT,TEST,DATE
Bercut,KS-1820 Verify that Bidder Configuration can be saved,2016-10-13 03:00:00.0
Bercut,KS-2572 AVP verify that actions can be performed when status is Verified,2016-10-13 11:11:36.0
Bercut,KS-2860 Ad server Verify that summary section and campaigns grid are displayed,2016-10-13 13:36:29.0
Bercut,KS-3173 Verify that enabled or disabled deals can be disabled or enabled,2016-10-13 03:11:48.0
Bercut,KS-3317 Deals Supply List verify that Buyer can be added,2016-10-13 01:09:53.0
Bercut,KS-3695 Ad Server New Campaign verify that 3rd party tag can be edited,2016-10-13 13:33:57.0
Bercut,KS-3799 Ad Server Campaign Country Targeting verify that target countries can be selected,2016-10-13 03:08:58.0
Bercut,KS-3955 Ad Server new campaign Position verify that positions and sites can be selected,2016-10-13 10:46:36.0
Bercut,KS-408 Verify that Reports tabs can be removed,2016-10-13 11:13:28.0
Bercut,KS-4218 Impersonate Verify that role can be changed,2016-10-13 10:48:39.0
Bercut,KS-4322 Verify that Seller can be changed in impersonate drop-down,2016-10-13 03:54:25.0
Bercut,KS-4356 Verify that Connect Partners can be edited,2016-10-13 03:37:41.0
Bercut,KS-4389 Buyers Verify that Adnet can be created with required fields only general section is filled in,2016-10-13 01:43:36.0
Bercut,KS-4467 Connect partner: verify that created partner can be selected in the RTB Bidder Config,2016-10-13 03:17:29.0
Bercut,KS-4632 PSS verify that MM Exchange ad source can be updated with allow bidders and bidder groups by Seller admin,2016-10-13 03:14:29.0
Bercut,KS-4658 Settings Verify that Block Group can be created by Sellers admin,2016-10-13 03:48:03.0
Bercut,KS-4675 Settings Verify that Publisher Bidder Group can be edited by Seller admin and manager,2016-10-13 03:50:33.0
Bercut,KS-4905 Impersonate PSS App Placement Overview toolbar is displayed correctly,2016-10-13 10:52:43.0
Bercut,KS-4905 Impersonate PSS App Placement Overview toolbar is displayed correctly,2016-10-13 13:33:59.0
Bercut,KS-4930 Verify that ONE: Mobile Marketplace Ad Source can be edited,2016-10-13 01:11:25.0
Bercut,KS-4934 Verify that Geo Targeting can be edited from Block to Allow for MM Exchange Ad Source,2016-10-13 10:45:50.0
Bercut,KS-4939 Impersonate PSS New House Campaign verify that Name and Pricing section can be filled in,2016-10-13 10:55:28.0
Bercut,KS-5124 Impersonate PSS Verify that SAVE AND ADD PLACEMENT BUTTON saves the app site and forward user for placement creation,2016-10-13 11:22:05.0
Bercut,KS-5355 PSS Campaigns Targeting Custom Targeting verify that custom targeting group can be added,2016-10-13 03:53:10.0
Bercut,KS-5361 PSS Campaign Targeting verify that iOS specific devices can be saved,2016-10-13 03:11:55.0
Bercut,KS-5362 PSS Campaign Targeting verify that iOS specific versions can be saved,2016-10-13 11:21:30.0
